,COD_DPTO,DEPARTAMENTO,COD_MUN,MUNICIPIO_CLIENTE
10,15,BOYACA,15832,TUNUNGUA
31,15,BOYACA,15476,MOTAVITA
87,15,BOYACA,15189,CIENEGA
103,50,META,5037,URIBE
170,15,BOYACA,15001,TUNJA
171,15,BOYACA,15022,ALMEIDA
172,15,BOYACA,15047,AQUITANIA
173,15,BOYACA,15051,ARCABUCO
174,15,BOYACA,1509,BERBEO
175,15,BOYACA,15092,BETEITIVA
176,15,BOYACA,15097,BOAVITA
177,15,BOYACA,15104,BOYACA
178,15,BOYACA,15106,BRICEÑO
179,15,BOYACA,15109,BUENA VISTA
180,15,BOYACA,15114,BUSBANZA
181,15,BOYACA,15131,CALDAS
182,15,BOYACA,15135,CAMPOHERMOSO
183,15,BOYACA,15162,CERINZA
184,15,BOYACA,15172,CHINAVITA
185,15,BOYACA,15176,CHIQUINQUIRA
186,15,BOYACA,1518,CHISCAS
187,15,BOYACA,15183,CHITA
188,15,BOYACA,15185,CHITARAQUE
189,15,BOYACA,15187,CHIVATA
190,15,BOYACA,15204,COMBITA
191,15,BOYACA,15212,COPER
192,15,BOYACA,15215,CORRALES
193,15,BOYACA,15218,COVARACHIA
194,15,BOYACA,15223,CUBARA
195,15,BOYACA,15224,CUCAITA
196,15,BOYACA,15226,CUITIVA
197,15,BOYACA,15232,CHIQUIZA
198,15,BOYACA,15236,CHIVOR
199,15,BOYACA,15238,DUITAMA
200,15,BOYACA,15244,EL COCUY
201,15,BOYACA,15248,EL ESPINO
202,15,BOYACA,15272,FIRAVITOBA
203,15,BOYACA,15276,FLORESTA
204,15,BOYACA,15293,GACHANTIVA
205,15,BOYACA,15296,GAMEZA
206,15,BOYACA,15299,GARAGOA
207,15,BOYACA,15317,GUACAMAYAS
208,15,BOYACA,15322,GUATEQUE
209,15,BOYACA,15325,GUAYATA
210,15,BOYACA,15332,GÜICAN
211,15,BOYACA,15362,IZA
212,15,BOYACA,15367,JENESANO
213,15,BOYACA,15368,JERICO
214,15,BOYACA,15377,LABRANZAGRANDE
215,15,BOYACA,1538,LA CAPILLA
216,15,BOYACA,15401,LA VICTORIA
217,15,BOYACA,15425,MACANAL
218,15,BOYACA,15442,MARIPI
219,15,BOYACA,15455,MIRAFLORES
220,15,BOYACA,15464,MONGUA
221,15,BOYACA,15466,MONGUI
222,15,BOYACA,15469,MONIQUIRA
223,15,BOYACA,1548,MUZO
224,15,BOYACA,15491,NOBSA
225,15,BOYACA,15494,NUEVO COLON
226,15,BOYACA,155,OICATA
227,15,BOYACA,15507,OTANCHE
228,15,BOYACA,15511,PACHAVITA
229,15,BOYACA,15514,PAEZ
230,15,BOYACA,15516,PAIPA
231,15,BOYACA,15518,PAJARITO
232,15,BOYACA,15522,PANQUEBA
233,15,BOYACA,15531,PAUNA
234,15,BOYACA,15533,PAYA
235,15,BOYACA,15542,PESCA
236,15,BOYACA,1555,PISBA
237,15,BOYACA,15572,PUERTO BOYACA
238,15,BOYACA,1558,QUIPAMA
239,15,BOYACA,15599,RAMIRIQUI
240,15,BOYACA,156,RAQUIRA
241,15,BOYACA,15621,RONDON
242,15,BOYACA,15632,SABOYA
243,15,BOYACA,15638,SACHICA
244,15,BOYACA,15646,SAMACA
245,15,BOYACA,1566,SAN EDUARDO
246,15,BOYACA,15673,SAN MATEO
247,15,BOYACA,15686,SANTANA
248,15,BOYACA,1569,SANTA MARIA
249,15,BOYACA,15696,SANTA SOFIA
250,15,BOYACA,1572,SATIVANORTE
251,15,BOYACA,15723,SATIVASUR
252,15,BOYACA,1574,SIACHOQUE
253,15,BOYACA,15753,SOATA
254,15,BOYACA,15755,SOCOTA
255,15,BOYACA,15757,SOCHA
256,15,BOYACA,15759,SOGAMOSO
257,15,BOYACA,15761,SOMONDOCO
258,15,BOYACA,15762,SORA
259,15,BOYACA,15763,SOTAQUIRA
260,15,BOYACA,15764,SORACA
261,15,BOYACA,15774,SUSACON
262,15,BOYACA,15776,SUTAMARCHAN
263,15,BOYACA,15778,SUTATENZA
